,number,value,datetime_start,datetime_complete,duration,params_entropy_factor,state
0,0,,2025-12-29 07:17:45.291226,,,0.4,RUNNING
1,1,,2025-12-29 08:37:01.067664,,,0.4,RUNNING
2,2,43.35600000000001,2025-12-29 08:47:01.865931,2025-12-29 09:19:34.881157,0 days 00:32:33.015226,0.4,COMPLETE
3,3,43.589333333333336,2025-12-29 09:19:34.983315,2025-12-29 09:56:59.583437,0 days 00:37:24.600122,1.0,COMPLETE
4,4,43.67333333333334,2025-12-29 09:56:59.661860,2025-12-29 10:33:17.433475,0 days 00:36:17.771615,0.7500000000000001,COMPLETE
5,5,43.73533333333332,2025-12-29 10:33:17.571411,2025-12-29 11:07:36.487184,0 days 00:34:18.915773,0.6000000000000001,COMPLETE
6,6,44.842666666666666,2025-12-29 11:07:36.530044,2025-12-29 11:39:15.290359,0 days 00:31:38.760315,0.2,COMPLETE
7,7,50.900000000000006,2025-12-29 11:39:15.319279,2025-12-29 11:43:19.650831,0 days 00:04:04.331552,0.2,PRUNED
8,8,51.26,2025-12-29 11:43:19.681185,2025-12-29 11:47:23.844590,0 days 00:04:04.163405,0.1,PRUNED
9,9,45.155,2025-12-29 11:47:23.904514,2025-12-29 11:57:55.777974,0 days 00:10:31.873460,0.9000000000000001,PRUNED
10,10,49.879999999999995,2025-12-29 11:57:55.826702,2025-12-29 12:02:31.923833,0 days 00:04:36.097131,0.6500000000000001,PRUNED
11,11,45.14500000000001,2025-12-29 12:02:32.009780,2025-12-29 12:11:48.037995,0 days 00:09:16.028215,0.7500000000000001,PRUNED
12,12,49.910000000000004,2025-12-29 12:11:48.120516,2025-12-29 12:18:08.734253,0 days 00:06:20.613737,0.4,PRUNED
13,13,50.01666666666667,2025-12-29 12:18:08.844090,2025-12-29 12:24:47.047389,0 days 00:06:38.203299,0.4,PRUNED
14,14,43.97833333333333,2025-12-29 12:24:47.139821,2025-12-29 12:40:31.099123,0 days 00:15:43.959302,1.0,PRUNED
15,15,49.76,2025-12-29 12:40:31.157161,2025-12-29 12:47:33.045475,0 days 00:07:01.888314,0.45,PRUNED
16,16,51.3,2025-12-29 12:47:33.119560,2025-12-29 12:52:00.332069,0 days 00:04:27.212509,0.25,PRUNED
17,17,49.67666666666667,2025-12-29 12:52:00.393633,2025-12-29 12:59:36.033484,0 days 00:07:35.639851,0.8500000000000001,PRUNED
18,18,45.1725,2025-12-29 12:59:36.058512,2025-12-29 13:09:26.450350,0 days 00:09:50.391838,0.55,PRUNED
19,19,50.394999999999996,2025-12-29 13:09:26.564336,2025-12-29 13:13:51.704112,0 days 00:04:25.139776,0.3,PRUNED
20,20,49.785,2025-12-29 13:13:51.791179,2025-12-29 13:18:25.447656,0 days 00:04:33.656477,0.5,PRUNED
21,21,53.745,2025-12-29 13:18:25.484435,2025-12-29 13:22:33.829080,0 days 00:04:08.344645,0.05,PRUNED
